NAME,ENAME,CODE,ADDRESS,X,Y
巴彦淖尔市,Bayan Nur,150800000000,内蒙古自治区,107.416959,40.757402
乌兰察布市,Ulanqab,150900000000,内蒙古自治区,113.114543,41.034126
兴安盟,Hinggan,152200000000,内蒙古自治区,122.070317,46.076268
锡林郭勒盟,Xilin Gol,152500000000,内蒙古自治区,116.090996,43.944018
阿拉善盟,Alxa,152900000000,内蒙古自治区,105.706422,38.844814
沈阳市,Shenyang,210100000000,辽宁省,123.429096,41.796767
大连市,Dalian,210200000000,辽宁省,121.618622,38.91459
鞍山市,Anshan,210300000000,辽宁省,122.995632,41.110626
抚顺市,Fushun,210400000000,辽宁省,123.921109,41.875956
本溪市,Benxi,210500000000,辽宁省,123.770519,41.297909
丹东市,Dandong,210600000000,辽宁省,124.383044,40.124296
锦州市,Jinzhou,210700000000,辽宁省,121.135742,41.119269
营口市,Yingkou,210800000000,辽宁省,122.235151,40.667432
阜新市,Fuxin,210900000000,辽宁省,121.648962,42.011796
辽阳市,Liaoyang,211000000000,辽宁省,123.18152,41.269402
盘锦市,Panjin,211100000000,辽宁省,122.06957,41.124484
铁岭市,Tieling,211200000000,辽宁省,123.844279,42.290585
朝阳市,Chaoyang,211300000000,辽宁省,120.451176,41.576758
葫芦岛市,Huludao,211400000000,辽宁省,120.856394,40.755572
长春市,Changchun,220100000000,吉林省,125.3245,43.886841
吉林市,Jilin,220200000000,吉林省,126.55302,43.843577
四平市,Siping,220300000000,吉林省,124.370785,43.170344
辽源市,Liaoyuan,220400000000,吉林省,125.145349,42.902692
通化市,Tonghua,220500000000,吉林省,125.936501,41.721177
白山市,Baishan,220600000000,吉林省,126.427839,41.942505
松原市,Songyuan,220700000000,吉林省,124.823608,45.118243
白城市,Baicheng,220800000000,吉林省,122.841114,45.619026
延边朝鲜族自治州,Yanbian,222400000000,吉林省,129.513228,42.904823
哈尔滨市,Harbin,230100000000,黑龙江省,126.642464,45.756967
齐齐哈尔市,Qiqihar,230200000000,黑龙江省,123.953486,47.348079
鸡西市,Jixi,230300000000,黑龙江省,130.975966,45.300046
鹤岗市,Hegang,230400000000,黑龙江省,130.277487,47.332085
双鸭山市,Shuangyashan,230500000000,黑龙江省,131.157304,46.643442
大庆市,Daqing,230600000000,黑龙江省,125.11272,46.590734
伊春市,Yichun,230700000000,黑龙江省,128.899396,47.724775
佳木斯市,Jiamusi,230800000000,黑龙江省,130.361634,46.809606
七台河市,Qitaihe,230900000000,黑龙江省,131.015584,45.771266
牡丹江市,Mudanjiang,231000000000,黑龙江省,129.618602,44.582962
黑河市,Heihe,231100000000,黑龙江省,127.499023,50.249585
绥化市,Suihua,231200000000,黑龙江省,126.99293,46.637393
大兴安岭地区,Da Hinggan Ling,232700000000,黑龙江省,124.711526,52.335262
上海市,Shanghai,310000000000,,121.472644,31.231706
南京市,Nanjing,320100000000,江苏省,118.767413,32.041544
无锡市,Wuxi,320200000000,江苏省,120.301663,31.574729
徐州市,Xuzhou,320300000000,江苏省,117.184811,34.261792
常州市,Changzhou,320400000000,江苏省,119.946973,31.772752
苏州市,Suzhou,320500000000,江苏省,120.619585,31.299379
南通市,Nantong,320600000000,江苏省,120.864608,32.016212
连云港市,Lianyungang,320700000000,江苏省,119.178821,34.600018
淮安市,Huai'an,320800000000,江苏省,119.021265,33.597506
盐城市,Yancheng,320900000000,江苏省,120.139998,33.377631
扬州市,Yangzhou,321000000000,江苏省,119.421003,32.393159
镇江市,Zhenjiang,321100000000,江苏省,119.452753,32.204402
泰州市,Taizhou,321200000000,江苏省,119.915176,32.484882
宿迁市,Suqian,321300000000,江苏省,118.293328,33.945154
杭州市,Hangzhou,330100000000,浙江省,120.153576,30.287459
宁波市,Ningbo,330200000000,浙江省,121.549792,29.868388
温州市,Wenzhou,330300000000,浙江省,120.672111,28.000575
嘉兴市,Jiaxing,330400000000,浙江省,120.750865,30.762653
湖州市,Huzhou,330500000000,浙江省,120.102398,30.867198
绍兴市,Shaoxing,330600000000,浙江省,120.582112,29.997117
金华市,Jinhua,330700000000,浙江省,119.649506,29.089524
衢州市,Quzhou,330800000000,浙江省,118.87263,28.941708
舟山市,Zhoushan,330900000000,浙江省,122.106863,30.016028
台州市,Taizhou,331000000000,浙江省,121.428599,28.661378
丽水市,Lishui,331100000000,浙江省,119.921786,28.451993
合肥市,Hefei,340100000000,安徽省,117.283042,31.86119
芜湖市,Wuhu,340200000000,安徽省,118.376451,31.326319
蚌埠市,Bengbu,340300000000,安徽省,117.36237,32.934037
淮南市,Huainan,340400000000,安徽省,117.025449,32.645947
马鞍山市,Ma'anshan,340500000000,安徽省,118.507906,31.689362
淮北市,Huaibei,340600000000,安徽省,116.794664,33.971707
铜陵市,Tongling,340700000000,安徽省,117.816576,30.929935
安庆市,Anqing,340800000000,安徽省,117.053571,30.524816
黄山市,Huangshan,341000000000,安徽省,118.317325,29.709239
滁州市,Chuzhou,341100000000,安徽省,118.316264,32.303627
阜阳市,Fuyang,341200000000,安徽省,115.819729,32.896969
宿州市,Suzhou,341300000000,安徽省,116.984084,33.633891
六安市,Lu'an,341500000000,安徽省,116.507676,31.752889
亳州市,Bozhou,341600000000,安徽省,115.782939,33.869338
池州市,Chizhou,341700000000,安徽省,117.489157,30.656037
宣城市,Xuancheng,341800000000,安徽省,118.757995,30.945667
福州市,Fuzhou,350100000000,福建省,119.306239,26.075302
